ID	Широта	\Долгота	Регион	Тип региона	\Тип области	Область	Полный адрес	Размещение
529360	55.655923	37.541505	Москва	г	г	Москва	г. Москва, ул. Профсоюзная, д. 61, корп. А	ТЦ "Калужский", входная группа (1 этаж)
529366	55.670133	37.552418	Москва	г	г	Москва	г. Москва, ул. Профсоюзная, д. 56	Бизнес Центр «Cherry Tower» (1 этаж)
529368	55.783686	37.560107	Москва	г	г	Москва	г. Москва, Ленинградский просп., д. 31А, стр. 1	Бизнес Центр «МонАрх», около лифта к магазину "Перекресток" (1 этаж)
529372	55.619560	37.464870	Москва	г	п	Мосрентген	Москва г., п. Мосрентген, Ленинский район, пос. Мосрентген	ООО ПП "Автострой"
529376	55.746765	37.626585	Москва	г	г	Москва	г. Москва, ул. Балчуг, д. 7	Д/О № 099/1009 Банка ГПБ (АО) "Балчуг" (1 этаж), зона 24
529380	55.617276	37.715622	Москва	г	г	Москва	г. Москва, Каширское ш., д. 61, стр. 3А, корп. 1	АТЦ "Москва"
529383	55.790483	37.747034	Москва	г	г	Москва	г. Москва, Измайловское ш., д. 71, корп. 3В	ЗАО Туристическо-гостиничный комплекс "ВЕГА"
529385	55.756386	 37.604942	Москва	г	г	Москва	г. Москва,  ул. Б. Никитская, д 13/6, стр.1	Кафе «Кофемания»
529390	55.983658	37.173718	Москва	г	г	Зеленоград	Москва г., г. Зеленоград, Г.О. Зеленоград, ул. Гоголя, д. 2	БЦ "ЭКО Траст", вход в супермаркет "Лента"
529392	55.731250	37.666068	Москва	г	г	Москва	г. Москва, 3-ий Крутицкий пер., д. 11	Д/О № 099/1011 Банка ГПБ (АО) "Волгоградский", зона 24
529399	55.640226	37.621938	Москва	г	г	Москва	г. Москва, Варшавское ш., д. 95, корп. 1	МОТЦ "Аэробус", Д/О № 099/1019 Банка ГПБ (АО) "Чертановский"
529402	55.845501	37.576142	Москва	г	г	Москва	г. Москва, Гостиничный пр-д, д. 8, корп. 1	Гостиница "Шерстон" (1 этаж)
529403	55.869219	37.663043	Москва	г	г	Москва	г. Москва, ул. Енисейская, д. 19	ТЦ "Радужный" (1 этаж)
529404	55.679428	37.533885	Москва	г	г	Москва	г. Москва, Ленинский просп., д. 87	ДО № 099/1033 Банка ГПБ (АО) "Ленинский Проспект", зона 24
529409	55.867171	37.704140	Москва	г	г	Москва	г. Москва, Ярославское ш., д. 69	Универсам "Для всей семьи" (1 этаж), ООО "Долина Детства"
529410	55.776775	37.581460	Москва	г	г	Москва	г. Москва, пл. Тверской Заставы, д. 7	Белорусский вокзал (ЗАО "РЖД-Сервис")
529417	55.754968	37.509262	Москва	г	г	Москва	г. Москва, Береговой проезд, владение 5	ТЦ Фили Град
529419	55.576239	37.477361	Москва	г	г	Москва	г. Москва, Ленинский р-н, пос. Газопровод, 2 км от МКАД, ул. Бачуринская	Автосалон ГАЛФ "Автопремьер", АПК (Административно-производственное здание)
529424	55.664695	37.562443	Москва	г	г	Москва	г. Москва, ул. Новочеремушкинская, д. 65	ООО "Газпром Нефть Шельф"
529425	55.792903	37.632493	Москва	г	г	Москва	г. Москва, Рижская пл., д. 1	Рижский вокзал (ОАО "РЖД", ЗАО "РЖД-Сервис")
529426	55.659926	37.538034	Москва	г	г	Москва	г. Москва, Старокалужское ш., д. 62, стр. 2	ЗАО "Газтелеком"
529430	55.606670	37.536284	Москва	г	г	Москва	г. Москва, Новоясеневский просп., д. 11	ТРЦ "Золотой Вавилон Ясенево" (1 этаж)
529431	55.863106	37.602049	Москва	г	г	Москва	г. Москва, ул. Декабристов, д. 12	ТРЦ "Золотой Вавилон Отрадное" (1 этаж)
529437	55.643842	37.796887	Москва	г	г	Москва	г. Москва, р-он Капотня, 2-ой квартал, д. 1, корп. 3	Московский НПЗ, ОАО «Газпромнефть-МНПЗ»
529438	55.663365	37.562021	Москва	г	г	Москва	г. Москва, ул. Новочеремушкинская, д. 69	Открытое акционерное общество "Всероссийский научно-исследовательский Институт геологии зарубежных стран" (ОАО "ВНИИЗарубежгеология"), ОАО "Агентство финансирования жилищного строительства" (ОАО "АФЖС")
529440	55.837380	37.744227	Москва	г	г	Москва	г. Москва, ул. Лосиноостровская, д. 45, корп. 1	ФГБУ "Клиническая больница УД Президента РФ", Главный корпус
529441	55.823239	37.497599	Москва	г	г	Москва	г. Москва, Ленинградское ш., д. 16	ТЦ "Метрополис" (выход с подземной парковки)
529446	55.146749	37.489122	Москва	г	г	Чехов	Москва г., г. Чехов, г. Чехов, ул. Товарная, вл. 2	ТК "Чеховский"
529447	55.604571	37.288714	Москва	г	г	Москва	г. Москва, ул. 2-ая Рейсовая, д. 2, корп. 4, Аэропорт Внуково	Терминал "D", зона "Внутренние рейсы" (1 этаж)
529448	55.606075	37.288699	Москва	г	г	Москва	г. Москва, ул. 2-ая Рейсовая, д. 2, корп. 5, Аэропорт Внуково	Терминал "А" (2 этаж)
529449	55.606075	37.288699	Москва	г	г	Москва	г. Москва, ул. 2-ая Рейсовая, д. 2, корп. 5, Аэропорт Внуково	Терминал "А" (2 этаж)
529452	55.637812	37.656130	Москва	г	г	Москва	г. Москва, ул. Кантемировская, д. 47	ТЦ "Кантемировский" (2 этаж)
529453	55.705381	37.479160	Москва	г	г	Москва	г. Москва, ул. Матвеевская, д. 2	ТЦ "Тук-Тук" (1 этаж)
529459	55.656903	37.535991	Москва	г	г	Москва	г. Москва, ул. Обручева, д. 27, корп. 1	Автосалон "РОЛЬФ-ЮГ"
529466	55.844324	37.383642	Москва	г	г	Москва	г. Москва, Пятницкое ш., д. 18	ТК "Митинский радиорынок" (1 этаж)
529468	55.824005	37.634434	Москва	г	г	Москва	г. Москва, ул. 1-ая Останкинская, д. 55	ТЦ "ВДНХ", около входа в супермаркет "Лента" (1 этаж)
529469	55.739052	37.593210	Москва	г	г	Москва	г. Москва, ул. Остоженка, д. 38, стр. 1	МГЛУ главный корпус
529470	55.817512	37.655823	Москва	г	г	Москва	г. Москва, Ракетный бульв., д. 16	БЦ "Алексеевская Башня", ООО "Техкорм" (1 этаж)
529471	55.876476	37.422279	Москва	г	г	Москва	г. Москва, МКАД, 73 км, д. 7	ТЦ "Арфа", вход со стороны Якитории (1 этаж)
529472	55.872479	37.440078	Москва	г	г	Москва	г. Москва, ул. Свободы, вл. 70	АЗС "Газпромнефть" № 150
529476	55.821076	37.782088	Москва	г	г	Москва	г. Москва, ул. Иркутская, д. 11/17	Бизнес Центр "Бэлрайс"
529482	55.640748	37.686558	Москва	г	г	Москва	г. Москва, Каширское ш., д. 49	ОАО "ТВЭЛ", ОАО «Московский завод полиметаллов», проходная
529484	55.747151	37.536520	Москва	г	г	Москва	г. Москва, Пресненская наб., д. 10	ММДЦ "Москва-Сити", комплекс "Башня на Набережной", блок "С", около кафе-столовой (1 подвальный этаж), ОАО "Фортум"
529487	55.603329	37.491314	Москва	г	г	Москва	г. Москва, Ленинский район, Калужское ш., 21 км (41 км МКАД)	ТРЦ «МЕГА Теплый Стан» (1 этаж)
529495	55.759145	37.624487	Москва	г	г	Москва	г. Москва, ул. Никольская, д. 25	ТЦ "Наутилус"
529496	55.755773	37.614608	Москва	г	г	Москва	г. Москва, Манежная пл., д. 1, стр. 2	ТК "Охотный Ряд"
529497	55.710372	37.668165	Москва	г	г	Москва	г. Москва, улица Велозаводская, дом 13	ОАО "Велозаводский рынок"
529500	55.741145	37.658878	Москва	г	г	Москва	г. Москва, ул. Таганская, д. 3	ТДЦ «Таганский Пассаж», вход в бизнес-центр (1 этаж)
529508	55.654626	37.844541	Москва	г	г	Москва	г. Москва, Люберецкий р-н, пос. Котельники,  1-й Покровский проезд, 5, 1-й этаж	ТРЦ «МЕГА Белая Дача»
529513	55.624309	37.420769	Москва	г	г	Москва	г. Москва, д. Саларьево, вл. 7	ТРЦ "Саларис"
529519	55.751923	37.588647	Москва	г	г	Москва	г. Москва, ул. Новый Арбат, д. 19	Магазин "Весна"
529524	55.656906	37.557538	Москва	г	г	Москва	г. Москва, ул. Херсонская, д. 43, корп. 3	БЦ "Газойл Сити" (ООО "МСК-Истэйт"), ЗАО "Газпромбанк Лизинг" (1 этаж)
529526	55.711757	37.388584	Москва	г	г	Москва	г. Москва, ул. Беловежская, д. 4, блок А	БЦ «Западные Ворота» (ОАО «Россети»)
524272	55.719987	37.776215	Москва	г	г	Москва	г. Москва, Рязанский просп., д. 24, корп. 3	Автосалон "РОЛЬФ"
531793	55.727851	37.475354	Москва	г	г	Москва	г. Москва, Кутузовский проспект, д. 57	ТРЦ «Океания» (-1 этаж) центральная локация
524274	55.679895	37.568497	Москва	г	г	Москва	г. Москва, ул. Кржижановского,  д. 16, корп. 3	ПАО "СИБУР Холдинг", внутренний корпус
530829	55.794386	37.588108	Москва	г	г	Москва	г. Москва, пл. площадь Савеловского вокзала, д. 2.	Савеловский вокзал
531805	55.782567	37.573753	Москва	г	г	Москва	г. Москва, Ленинградский проспект д. 24	 Д/О № 099/1028 Банка ГПБ (АО) "Северный"
530302	55.777681	37.607207	Москва	г	г	Москва	г. Москва, ул. Краснопролетарская, д. 16, стр. 2	БЦ ЗАО "Бизнес Сити", ООО "ВНС Сервисез" (компания Wincor Nixdorf), подъезд 8
529546	55.801369	37.531918	Москва	г	г	Москва	г. Москва, Ленинградский просп., д. 62А	ТК "Галерея Аэропорт" (2 этаж)
529563	55.606075	37.288699	Москва	г	г	Москва	г. Москва, ул. 2-ая Рейсовая, д. 2, корп. 5, Аэропорт Внуково	Терминал "А" (1 этаж, входная группа)
530363	55.790655	37.530605	Москва	г	г	Москва	г. Москва, Ходынский бульв., д. 4	АО ТВК "Авиапарк" (6 уровень), рядом с магазином М.видео
531324	55.746765	37.626585	Москва	г	г	Москва	г. Москва, ул. Балчуг, д. 7	Д/О № 099/1009 Банка ГПБ (АО) "Балчуг" (1 этаж)
531801	55.768208	37.623393	Москва	г	г	Москва	г. Москва, Цветной бульв., д. 2	Д/О № 099/1039 Банка ГПБ (АО) "Цветной Бульвар" (зона 24)
531303	55.677951	37.466637	Москва	г	г	Москва	г. Москва, Мичуринский проспект, Олимпийская деревня, дом 3, корп.1.	ТРЦ "Фестиваль"
530386	55.637812	37.656130	Москва	г	г	Москва	г. Москва, ул. Кантемировская, д. 47	ТЦ "Кантемировский" (2 этаж)
530353	55.691956	37.658834	Москва	г	г	Москва	г. Москва, Проектируемый проезд 4062, дом 6, стр. 25	Офисный центр «Порт Плаза» (1 этаж)
529360	55.655923	37.541505	Москва	г	г	Москва	г. Москва, ул. Профсоюзная, д. 61, корп. А	ТЦ "Калужский", входная группа (1 этаж)
530321	55.747621	37.581437	Москва	г	г	Москва	г. Москва, Смоленская пл.‚ д. 3	ТДК "СМОЛЕНСКИЙ ПАССАЖ" (цокольный этаж)
529568	55.793809	37.461688	Москва	г	г	Москва	г. Москва, ул. Рогова, д. 5А	ОАО "ВНИИНМ" (Высокотехнологический научно-исследовательский институт неорганических материалов им. академика А.А. Бочвара), проходная
529610	55.825664	37.516530	Москва	г	г	Москва	г. Москва, ул. Новопетровская, д. 6.	ТЦ "Петровский"
529570	55.792632	37.597196	Москва	г	г	Москва	г. Москва, ул. Сущевский вал, д. 15	АЗС "Газпромнефть" № 109
531309	55.600949	37.471059	Москва	г	г	Москва	г. Москва, пос. Сосенское, Калужское ш. 22-й км, д. 10	ОРПЦ «Фуд Сити» (Оптово-продовольственный центр),   1 этаж
530819	55.726538	37.589913	Москва	г	г	Москва	г. Москва, Фрунзенская набережная, д. 22/2	Министерство Обороны РФ, КПП № 5
530769	55.738145	37.528981	Москва	г	г	Москва	г. Москва, Кутузовский просп., д. 43	Д/О № № 099/1037 Банка ГПБ (АО) «Парк Победы»
529547	55.803406	37.637789	Москва	г	г	Москва	г. Москва, Проспект Мира, д. 108	Д/О № 099/1015 Банка ГПБ (АО) "Алексеевский", зона 24
529419	55.576239	37.477361	Москва	г	г	Москва	г. Москва, Ленинский р-н, пос. Газопровод, 2 км от МКАД, ул. Бачуринская	Автосалон ГАЛФ "Автопремьер", АПК (Административно-производственное здание)
729385	55.872479	37.440078	Москва	г	г	Москва	г. Москва, ул. Свободы, вл. 70	АЗС "Газпромнефть" № 150
737333	55.766192	37.675053	Москва	г	г	Москва	г. Москва, ул. Доброслободская, д.19	АО "СОГАЗ"
530278	55.837003	37.638425	Москва	г	г	Москва	г. Москва, ул. Сельскохозяйственная, д. 15/1	ОАО "Гостиница "Байкал" (1 этаж)
538338	55.448357	37.508545	Москва	г	п	Ерино	Москва г., п. Ерино, санаторий "Ерино"	санаторий "Ерино", КПП, помещение кассы
530361	55.790655	37.530605	Москва	г	г	Москва	г. Москва, Ходынский бульв., д. 4 (ул. Авиаконструктора Микояна, д. 10)	АО ТВК "Авиапарк" (2 уровень), справа от центрального входа, рядом с HOFF
529372	55.619560	37.464870	Москва	г	п	Мосрентген	Москва г., п. Мосрентген, Ленинский район, пос. Мосрентген	ООО ПП "Автострой"
524283	55.685320	37.540156	Москва	г	г	Москва	г. Москва, Ленинский просп., д. 72/2	Магазин "Л'Этуаль"
529497	55.710372	37.668165	Москва	г	г	Москва	г. Москва, улица Велозаводская, дом 13	ОАО "Велозаводский рынок"
531336	55.747736	37.633195	Москва	г	г	Москва	г. Москва, Раушская наб., д. 14, корп. 1	Раушская наб., д. 14, корп. 1
531313	55.747784	37.633131	Москва	г	г	Москва	г. Москва, Раушская наб., д. 16	Д/О № 099/1003 Банка ГПБ (АО) "Раушский"
529583	55.776472	37.657278	Москва	г	г	Москва	г. Москва, Комсомольская пл., д. 5	Ярославский вокзал (ОАО "РЖД", ЗАО "РЖД-Сервис")
529606	55.704916	37.564605	Москва	г	г	Москва	г. Москва, ул. Косыгина, д. 15	Гостиница "Корстон"
529640	55.762369	37.683586	Москва	г	г	Москва	г. Москва, ул. Радио, д. 24	БЦ "Яуза Тауэр" (ОАО "ЦентрАтом"), 1-ый подъезд
530387	56.010063	37.184382	Москва	г	г	Москва	г. Москва, Г.О. Зеленоград, 3-ий Западный пр-д, д. 6	АЗС "Газпромнефть" № 139
729549	55.708778	37.603059	Москва	г	г	Москва	г. Москва, проезд 2-й Верхний Михайловский, д. 9, стр. 11	Д/О № 099/1021 Банка ГПБ (АО) "Шаболовка"
529637	55.745362	37.623435	Москва	г	г	Москва	г. Москва, Кадашевская наб., д. 32/2, стр. 4	ЗАО "Газпромбанк - Управление активами"
530415	55.634425	37.701385	Москва	г	г	Москва	г. Москва, Каширское ш., вл.57А	АЗС "Газпромнефть" № 171
524301	55.789856	37.631422	Москва	г	г	Москва	г. Москва, ул. Трифоновская, д. 57, стр. 3	ОАО "ТНТ-Телесеть" (1 этаж), ОАО "Газпром-Медиа Холдинг"
729425	55.707763	37.800596	Москва	г	г	Москва	г. Москва, Сормовский пр-д, вл. 9	АЗС "Газпромнефть" № 137
530821	55.775738	37.653963	Москва	г	г	Москва	г. Москва, Комсомольская пл., д. 3	Ленинградский вокзал (ОАО "РЖД", ЗАО "РЖД-Сервис")
530805	55.777084	37.523653	Москва	г	г	Москва	г. Москва, Хорошёвское шоссе, 27	ТЦ «Хорошо» (4 этаж)
529526	55.711757	37.388584	Москва	г	г	Москва	г. Москва, ул. Беловежская, д. 4, блок А	БЦ «Западные Ворота» (ОАО «Россети»)
529632	55.742276	37.044717	Москва	г	п	Николина гора	Москва г., п. Николина гора, Одинцовский район, п. Николина Гора, территория ТСЖ Никологорское	ТСЖ «Никологорское» (1 этаж)
530824	55.743041	37.566494	Москва	г	г	Москва	г. Москва, пл. Киевского вокзала, д. 1	Киевский вокзал
524288	55.837380	37.744227	Москва	г	г	Москва	г. Москва, ул. Лосиноостровская, д. 45, корп. 1	ФГБУ "Клиническая больница УД Президента РФ", Главный корпус
531818	55.673321	37.783365	Москва	г	г	Москва	г. Москва, Тихорецкий бульв., д. 1, стр. 5	ТЯК "Москва" в Люблино (2 этаж, линия 2 / ряд Д, вход №4)
530376	55.678291	37.632332	Москва	г	г	Москва	г. Москва, 1-ый Нагатинский пр-д, д. 10	БЦ "Ньютон Плаза" (ФГУП "Спецстрой Инжиниринг при Спецстрое России")
529620	55.798530	37.698530	Москва	г	г	Москва	г. Москва, Русаковская наб., вл. 7	АЗС "Газпромнефть" № 134
529534	55.740559	37.408351	Москва	г	г	Москва	г. Москва, ул. Оршанская, д. 5	МГЭИ, офисная часть учебно-административного корпуса, ООО "ЦИТЭК" и ЗАО "УК "Регионфинанс"
529487	55.603329	37.491314	Москва	г	г	Москва	г. Москва, Ленинский район, Калужское ш., 21 км (41 км МКАД)	ТРЦ «МЕГА Теплый Стан» (1 этаж)
524329	55.746299	37.546174	Москва	г	г	Москва	г. Москва, наб. Тараса Шевченко, д. 23а	ООО "СТРОЙГАЗКОНСАЛТИНГ"
529431	55.863106	37.602049	Москва	г	г	Москва	г. Москва, ул. Декабристов, д. 12	ТРЦ "Золотой Вавилон Отрадное" (1 этаж)
529651	55.728645	37.616713	Москва	г	г	Москва	г. Москва, ул. Коровий Вал, д. 7, блок А	Офисное здание Банка ГПБ (АО) (1 этаж)
529558	55.618832	37.782907	Москва	г	г	Москва	г. Москва, 19 км МКАД (внутренняя сторона), вл. 6	АЗС "Газпромнефть" № 38
529538	55.790722	37.466691	Москва	г	г	Москва	г. Москва, ул. Берзарина, д. 38	ОАО "ВНИИНМ" (Высокотехнологический научно-исследовательский институт неорганических материалов им. академика А.А. Бочвара), проходная
530800	55.600949	37.471059	Москва	г	г	Москва	г. Москва, пос. Сосенское, Калужское ш. 22-й км, д. 10	ТК «FOOD City» (Оптово-продовольственный центр), 1 этаж
524273	55.767332	37.524228	Москва	г	г	Москва	г. Москва, 2-ой Магистральный туп., д. 5А	Автосалон "РОЛЬФ"
531800	55.688814	37.540797	Москва	г	г	Москва	г. Москва, Ломоносовский просп., д. 15	Д/О № 099/1012 Банка ГПБ (АО) "Ломоносовский", зона 24
529500	55.741145	37.658878	Москва	г	г	Москва	г. Москва, ул. Таганская, д. 3	ТДЦ «Таганский Пассаж», вход в бизнес-центр (1 этаж)
530830	55.711471	37.652736	Москва	г	г	Москва	г. Москва, ул. Ленинская Слобода, д. 26 стр. 5	БЦ "Симонов Плаза"
529385	55.756386	 37.604942	Москва	г	г	Москва	г. Москва,  ул. Б. Никитская, д 13/6, стр.1	Кафе «Кофемания»
529392	55.731250	37.666068	Москва	г	г	Москва	г. Москва, 3-ий Крутицкий пер., д. 11	Д/О № 099/1011 Банка ГПБ (АО) "Волгоградский", зона 24
530837	55.721894	37.563476	Москва	г	г	Москва	г. Москва, Хамовнический Вал, д. 34	Гостиница "Юность"
529449	55.606075	37.288699	Москва	г	г	Москва	г. Москва, ул. 2-ая Рейсовая, д. 2, корп. 5, Аэропорт Внуково	Терминал "А" (2 этаж)
530831	55.763356	37.551259	Москва	г	г	Москва	г. Москва, ул. Сергея Макеева, д. 13.	БЦ «Марр Плаза»
530327	55.776324	37.738245	Москва	г	г	Москва	г. Москва, ул. Вольная, д. 30, стр. 10	ОАО «Корпорация «ВНИИЭМ» (1 этаж)
529399	55.640226	37.621938	Москва	г	г	Москва	г. Москва, Варшавское ш., д. 95, корп. 1	МОТЦ "Аэробус", Д/О № 099/1019 Банка ГПБ (АО) "Чертановский"
529553	55.733427	37.577795	Москва	г	г	Москва	г. Москва, ул. Россолимо, д. 17	Проходная Второго Московского приборостроительного завода, ООО "Связьгазавтоматика"
531798	55.794593	37.492051	Москва	г	г	Москва	г. Москва, ул. Маршала Бирюзова, д. 16	ДО №099/1048 Банка ГПБ (АО) «Маршала Бирюзова»
524346	55.805275	37.800874	Москва	г	г	Москва	г. Москва, ул. 9-ая Парковая, д. 62	ТЦ "Первомайский" (1 этаж)
530284	55.743776	37.634982	Москва	г	г	Москва	г. Москва, Овчинниковская наб., д. 20, стр. 1	Бизнес Центр "Central City Tower" (ООО "ТЭР-Москва") (1 этаж)
529368	55.783686	37.560107	Москва	г	г	Москва	г. Москва, Ленинградский просп., д. 31А, стр. 1	Бизнес Центр «МонАрх», около лифта к магазину "Перекресток" (1 этаж)
530784	55.757070	37.609829	Москва	г	г	Москва	г. Москва, Никитский пер., д. 5, стр. 6	ГУП "ФХУ Комплекса архитектуры, строительства, развития и реконструкции города" (подъезд №2)
